toilet_id,station_name,floor,lat,lon,description,features
T18864459,虎ノ門,1F,0.0,0.0,虎ノ門駅付近のトイレ (-1階) / 車椅子OK / ベビーチェア,
45cb2d24-8833-507e-9a8b-a1a8448fe046,溜池山王,不明,0.0,0.0,溜池山王駅付近のトイレ,
Te2088c0a,赤坂見附,1F,0.0,0.0,赤坂見附駅付近のトイレ (-1階) / 車椅子OK / ベビーチェア,
5e85191d-8363-5432-8eff-4c27415f8270,青山一丁目,不明,0.0,0.0,青山一丁目駅付近のトイレ,
T56f3ddaa,外苑前,不明,0.0,0.0,港区立ラグビー場前公衆便所 / 車椅子OK,
61d1c205-ddd6-5d94-80a1-a42d2806e1d7,外苑前,不明,0.0,0.0,外苑前駅付近のトイレ,
8b6be158-67a7-5059-9184-78546ca67864,表参道,不明,0.0,0.0,表参道駅付近のトイレ,
T554ce01c,表参道,不明,0.0,0.0,表参道駅付近のトイレ (-2階) / ベビーチェア,
98730e00-89e2-5b81-9914-d408a3570e3c,表参道,1F,0.0,0.0,表参道駅付近のトイレ (-1階),
d58c8f8e-7971-5e61-a953-b07d2fe1decd,新大塚,不明,0.0,0.0,新大塚駅付近のトイレ,
480dfbb7-0e31-5bbb-9cbe-7ab8073e4596,茗荷谷,不明,0.0,0.0,茗荷谷駅付近のトイレ,
dfbcbc6d-da22-5cdd-b6d2-4f2fe804c968,後楽園,不明,0.0,0.0,後楽園駅付近のトイレ,
T93fac111,後楽園,1F,0.0,0.0,後楽園駅付近のトイレ (-1階) / 車椅子OK / ベビーチェア,
Tcea80f31,後楽園,不明,0.0,0.0,後楽園駅付近のトイレ / 車椅子OK / ベビーチェア,
T61a1cbf3,後楽園,不明,0.0,0.0,後楽園駅付近のトイレ (-5階) / ベビーチェア,
025b31c3-69ca-5a69-9623-c0c6aa3e3277,後楽園,不明,0.0,0.0,後楽園駅付近のトイレ (2階),
8a1e335f-5915-5f24-9dbc-301cf86ab7ae,後楽園,不明,0.0,0.0,後楽園駅付近のトイレ (0階),
384df509-a169-588d-8d64-1ca8e2dad090,後楽園,1F,0.0,0.0,後楽園駅付近のトイレ (1階),
93802ebb-2842-565c-a549-2b8bac73db3b,後楽園,不明,0.0,0.0,後楽園駅付近のトイレ (3階),
Tbf58eb2e,後楽園,不明,0.0,0.0,後楽園駅付近のトイレ / 車椅子OK,
cdadbe90-0cc3-56ab-9259-f4e8bc410c52,本郷三丁目,不明,0.0,0.0,本郷三丁目駅付近のトイレ (0階),
abd97685-239a-5a63-88d3-2f23c87d52cf,淡路町,不明,0.0,0.0,淡路町駅付近のトイレ,
d3ef4945-5403-5037-9957-fce100b6017e,淡路町,1F,0.0,0.0,淡路町駅付近のトイレ (-1階),
2cb5116d-c0fd-56a9-afbd-f69299961f70,淡路町,不明,0.0,0.0,淡路町駅付近のトイレ (-2階),
Tf2d808b2,大手町,1F,0.0,0.0,大手町駅付近のトイレ (-1階) / 車椅子OK / ベビーチェア,
ec58ce12-1a6a-5d2c-a563-4e3ba3cdd419,霞ケ関,1F,0.0,0.0,霞ケ関駅付近のトイレ (-1階),
Te27ccbdf,霞ケ関,不明,0.0,0.0,霞ケ関駅付近のトイレ / 車椅子OK,
8ac12f29-e7b5-5cc4-bac4-4ccc703a4377,国会議事堂前,不明,0.0,0.0,国会議事堂前駅付近のトイレ,
4330cab1-25cf-5a83-9b0d-39c21cd3499d,四谷三丁目,不明,0.0,0.0,四谷三丁目駅付近のトイレ,
8f116aba-a950-56fd-8827-54a99f749d75,新宿御苑前,不明,0.0,0.0,新宿御苑前駅付近のトイレ,
T7b688ec6,新宿御苑前,不明,0.0,0.0,新宿御苑前駅付近のトイレ / ベビーチェア,
T31d53cdc,新宿御苑前,不明,0.0,0.0,新宿御苑前駅付近のトイレ / 車椅子OK,
T5c5f5573,新宿三丁目,不明,0.0,0.0,新宿三丁目駅付近のトイレ / 車椅子OK / ベビーチェア,
T66f0cf24,新宿三丁目,1F,0.0,0.0,新宿三丁目駅付近のトイレ (-1階) / 車椅子OK / ベビーチェア,
eb199348-3950-5280-8031-32159f0c533d,新宿三丁目,不明,0.0,0.0,新宿三丁目駅付近のトイレ (7階),
5d506535-e1ba-5ea2-80ad-e05346709b11,新宿三丁目,不明,0.0,0.0,新宿三丁目駅付近のトイレ,
T35910ebd,西新宿,不明,0.0,0.0,西新宿駅トイレ(代表) / 車椅子OK / ベビーチェア,
d0d5ff6f-ec29-5b9d-b3d4-3af2fb125b3e,中野坂上,1F,0.0,0.0,中野坂上駅付近のトイレ (-1階),
6aba67c6-7a3f-5533-af1a-061c67141257,中野坂上,不明,0.0,0.0,中野坂上駅付近のトイレ (-3階),
